linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
360;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;201;9290;59000.0;Curso de capacitação - NFPA 30 - Código de Líquidos inflamáveis e combustíveis - com carga horária de 16 horas/aulas | 339039
361;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;202;7320;2700.0;Material e utensílio para copa e cozinha Prato, tipo: raso, material: porcelana, diâmetro: mínimo de 26 cm | 449052
365;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;203;4240;40200.0;BOLSA/SACOLA/MOCHILA PARA CORDAS (ENTRE 20 E 30 LITROS). Destinado ao acondicionamento e transporte de cordas e acessórios utilizados em operações de salvamento e trabalho em altura. Deve ser confeccionada em material resistente, com proteção U.V | 449052
366;COMAV;publicado com pendência;unidade_fornecimento_ausente;170394;204;4240;3000.0;SINAL FOGUETE MANUAL ESTRELA VERMELHA COM PARAQUEDAS | 449052
367;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;205;9290;15600.0;Curso Avançado de Gestão e Fiscalização de Contratos de Concursos | 339039
368;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;206;7320;719.6;Material e utensílio para copa e cozinha Chaleira, capacidade: 02 litros, material: aço inox | 449052
372;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;207;4240;79062.0;"DISCO DE CORTE - utilizado para cortes em multimateriais: concreto, metal, PVC, tijolos e blocos. Diâmetro aproximado do disco: 125mm. Diâmetro aproximado do furo do fisco: 22,23mm (7/8""). Para corte à seco. Rotação mínima aceitável: 8.500rpm | 449052"
373;COMAV;publicado com pendência;unidade_fornecimento_ausente;170394;208;4240;3500.0;SINALIZADOR FUMÍGENO FLUTUANTE LARANJA | 449052
374;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;209;9290;24500.0;Congresso Panamericano de TRAUMA | 339039
375;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;210;7320;1163.97;Material e utensílio para copa e cozinha Panela de pressão, material: alumínio, capacidade: 7 litros | 449052
379;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;211;4220;24000.0;SAPATILHA DE NEOPRENE. Utilizada para atividades aquáticas. Solado de borracha com alta aderência quando molhado. Possui secagem rápida | 449052
